symbol,level,method,PICP,exc,exp_exc,p_1sided,pass1s,p_cc,CI_lo,CI_hi
600519,90,hsim,85.0,15,10,0.0726,True,0.0,5.0,25.0
600519,90,cqr,48.0,52,10,0.0,False,0.0,37.0,67.0
600519,90,enbpi,84.0,16,10,0.0399,False,0.0,6.0,29.0
600519,95,raw,46.0,54,5,0.0,False,0.0,25.0,83.0
600519,95,sc,88.0,12,5,0.0043,False,0.0,0.0,26.1
600519,95,aci,79.0,21,5,0.0,False,0.0,0.0,51.0
600519,95,rcac,88.0,12,5,0.0043,False,0.0,0.0,26.1
600519,95,gated,79.0,21,5,0.0,False,0.0,0.0,51.0
600519,95,sym,84.0,16,5,0.0,False,0.0,0.0,32.0
600519,95,agaci,79.0,21,5,0.0,False,0.0,0.0,51.0
600519,95,garch,93.0,7,5,0.234,True,0.0005,0.0,19.0
600519,95,hsim,97.0,3,5,0.8817,True,0.1002,0.0,7.0
600519,95,cqr,63.0,37,5,0.0,False,0.0,21.0,52.0
600519,95,enbpi,93.0,7,5,0.234,True,0.0005,0.0,19.0
