open,high,low,close,volume,amount,timestamps
442.42,452.5,435.25,441.07,37147,16384427.29,2018-05-30
445.45,466.82,445.44,466.33,71853,33507209.49,2018-05-31
466.33,470.18,453.96,460.31,36178,16653095.18,2018-06-01
467.55,498.1,461.08,497.17,73806,36694129.02,2018-06-04
501.7,509.9,492.43,503.25,52630,26486047.5,2018-06-05
503.2,516.15,497.5,500.95,48969,24531020.55,2018-06-06
505.18,510.75,494.1,496.17,39168,19433986.560000002,2018-06-07
495.2,501.1,485.2,493.15,34958,17239537.7,2018-06-08
491.25,501.2,483.53,490.93,36548,17942509.64,2018-06-11
493.2,518.7,491.7,514.39,55287,28439079.93,2018-06-12
515.2,517.82,504.08,505.53,35244,17816899.32,2018-06-13
505.2,509.0,490.38,501.33,36160,18128092.8,2018-06-14
499.4,504.78,495.3,499.53,31708,15839097.239999998,2018-06-15
495.2,495.2,463.2,464.2,60196,27942983.2,2018-06-19
467.2,491.2,467.2,489.79,45838,22450994.02,2018-06-20
491.42,505.09,484.97,485.52,39183,19024130.16,2018-06-21
480.2,493.2,476.2,492.73,28855,14217724.15,2018-06-22
492.2,505.17,491.1,491.76,32934,16195623.84,2018-06-25
491.51,496.08,473.2,481.0,46578,22404018.0,2018-06-26
478.2,483.2,447.2,448.64,57298,25706174.72,2018-06-27
440.2,445.2,423.2,437.13,50834,22221066.419999998,2018-06-28
438.5,458.5,431.2,457.66,32929,15070286.14,2018-06-29
460.72,465.53,429.2,437.75,37558,16441014.5,2018-07-02
435.96,441.98,404.43,421.12,82837,34884317.44,2018-07-03
418.2,426.2,414.2,417.11,37991,15846426.01,2018-07-04
426.2,442.4,426.2,428.59,47124,20196875.16,2018-07-05
433.2,447.13,425.46,440.32,44157,19443210.24,2018-07-06
446.23,456.06,445.93,453.44,40573,18397421.12,2018-07-09
455.2,457.7,439.53,451.96,29010,13111359.6,2018-07-10
436.2,450.2,428.42,445.78,24278,10822646.84,2018-07-11
444.2,467.37,444.2,463.74,40170,18628435.8,2018-07-12
468.5,474.3,461.32,473.19,28907,13678503.33,2018-07-13
478.5,490.31,477.23,480.88,32475,15616578.0,2018-07-16
483.2,483.2,462.22,468.63,27806,13030725.78,2018-07-17
468.63,475.89,461.2,463.64,24522,11369380.08,2018-07-18
465.2,470.15,461.22,467.15,18079,8445604.85,2018-07-19
467.7,469.33,454.2,467.33,30549,14276464.17,2018-07-20
462.2,467.35,446.21,458.27,35970,16483971.899999999,2018-07-23
458.88,473.5,449.2,471.6,41809,19717124.400000002,2018-07-24
473.15,476.08,466.21,470.01,21744,10219897.44,2018-07-25
475.1,475.1,460.43,461.82,23067,10652801.94,2018-07-26
462.2,470.5,456.2,464.76,20914,9719990.64,2018-07-27
465.1,466.86,441.2,445.41,42172,18783830.52,2018-07-30
446.5,454.08,445.41,452.64,20683,9361953.12,2018-07-31
457.6,458.5,440.31,441.14,25238,11133491.32,2018-08-01
442.17,442.17,414.08,422.04,55001,23212622.040000003,2018-08-02
421.2,421.2,402.4,405.19,47337,19180479.03,2018-08-03
403.2,410.2,388.45,395.88,45248,17912778.24,2018-08-06
398.5,414.03,388.22,412.48,39086,16122193.280000001,2018-08-07
413.22,415.2,398.07,402.42,29685,11945837.700000001,2018-08-08
397.2,420.7,396.32,418.08,34486,14417906.879999999,2018-08-09
