open,high,low,close,volume,amount,timestamps
996.682,996.682,984.795,986.927,232376203,229338348898.181,2005-01-04
986.57,1008.855,985.677,1003.633,348610113,349876613540.529,2005-01-05
1003.49,1003.49,990.792,994.595,293390559,291804783028.605,2005-01-06
993.434,1009.0,990.446,997.606,339162698,338350742500.988,2005-01-07
996.928,1006.457,993.123,1006.337,294940533,296809571157.621,2005-01-10
1006.211,1009.501,999.86,1008.343,313611521,316227981919.703,2005-01-11
1008.01,1008.743,998.361,1008.62,319639380,322394671455.6,2005-01-12
1008.098,1014.841,1005.348,1013.07,471573361,477736824828.27,2005-01-13
1012.699,1019.48,999.266,1000.169,401693734,401761620241.046,2005-01-14
990.987,991.022,974.333,977.522,435860320,426063051727.04004,2005-01-17
977.603,991.839,974.149,991.419,451613258,447737964633.102,2005-01-18
991.291,991.291,981.227,986.241,425524931,419670133474.371,2005-01-19
983.198,983.198,966.887,972.463,465204848,452394502100.62396,2005-01-20
971.501,989.718,951.427,988.519,618525583,611424290781.577,2005-01-21
1009.947,1009.947,998.37,1008.175,732335514,738322356826.95,2005-01-24
1006.0,1006.0,989.946,999.553,469480344,469270486286.232,2005-01-25
997.638,997.638,985.669,987.955,411390082,406434888462.31,2005-01-26
986.146,986.146,970.354,971.373,412321375,400517850997.875,2005-01-27
971.373,971.941,949.112,952.413,407237328,387858125272.464,2005-01-28
948.439,948.439,921.58,922.653,409509905,377835542377.965,2005-01-31
919.8,929.688,911.933,913.331,419974568,383575792166.008,2005-02-01
913.025,964.423,913.025,964.243,655356622,631923035267.146,2005-02-02
963.746,967.936,944.764,945.312,637130084,602286713966.208,2005-02-03
944.447,963.81,943.472,962.028,519301391,499582478580.948,2005-02-04
967.432,979.304,965.939,972.337,469332268,456349129470.316,2005-02-16
971.838,977.44,964.324,977.272,403195849,394032013743.92804,2005-02-17
977.12,977.12,964.554,964.769,411281145,396791298980.505,2005-02-18
965.001,981.887,964.471,981.819,476520314,467856698171.16595,2005-02-21
982.418,1008.671,980.505,1007.688,957578905,964940771621.64,2005-02-22
1008.293,1023.33,1002.801,1019.258,1020182334,1039829005388.172,2005-02-23
1018.292,1024.873,1012.445,1024.446,868323283,889550313976.2179,2005-02-24
1024.569,1035.474,1023.744,1024.118,965076125,988351830982.75,2005-02-25
1023.191,1026.037,1014.941,1020.847,702805156,717456535087.132,2005-02-28
1020.595,1023.96,1011.561,1021.162,667563690,681690672807.78,2005-03-01
1021.357,1028.329,1005.335,1006.148,745797116,750382276669.168,2005-03-02
1004.1,1011.7,996.362,1011.288,537249418,543313889430.38403,2005-03-03
1011.2,1012.665,1001.848,1003.21,452518936,453971521784.56,2005-03-04
1004.341,1008.356,1001.861,1006.953,447514053,450625618210.509,2005-03-07
1007.684,1029.457,1007.684,1029.457,718700799,739871568436.1431,2005-03-08
1031.602,1034.618,1024.89,1032.55,825782273,852661485986.1499,2005-03-09
1032.274,1032.274,1002.415,1005.545,710602049,714542337361.705,2005-03-10
1003.781,1010.857,999.111,1009.434,595531053,601149292954.002,2005-03-11
1009.177,1016.538,991.059,1007.766,755050325,760914045823.95,2005-03-14
1007.892,1007.892,992.015,993.831,649956805,645947221469.955,2005-03-15
992.642,992.642,977.132,983.916,531196451,522652687282.116,2005-03-16
983.105,984.246,970.338,970.966,531330742,515904085236.77203,2005-03-17
969.118,973.1,945.597,949.509,539391703,512157276523.827,2005-03-18
947.571,952.756,940.094,949.553,419219010,398070668602.53,2005-03-21
948.784,949.067,918.093,922.564,579501326,534627061319.86395,2005-03-22
921.069,937.682,914.541,923.194,529028344,488395793010.73596,2005-03-23
922.181,933.919,914.646,933.347,431920133,403131360375.151,2005-03-24
933.173,936.125,927.181,931.417,418984460,390249248779.82,2005-03-25
930.168,930.168,909.172,922.923,401957019,370975377846.537,2005-03-28
922.659,929.455,916.654,916.811,369856709,339088699234.999,2005-03-29
915.088,915.088,887.981,888.949,468949559,416872241523.49097,2005-03-30
887.07,896.408,880.878,896.068,412561375,369683046173.5,2005-03-31
895.227,934.549,884.626,927.546,692179347,642028184592.462,2005-04-01
919.139,920.623,904.618,909.87,533383808,485309925384.96,2005-04-04
908.185,912.382,899.796,901.744,457250275,412322691979.60004,2005-04-05
901.744,921.638,893.027,918.557,680502776,625080588414.232,2005-04-06
919.235,945.571,917.626,932.333,954023521,889467611404.4929,2005-04-07
931.774,949.468,928.058,949.457,799738066,759316904930.162,2005-04-08
949.847,957.342,943.722,948.509,868824248,824087618646.232,2005-04-11
947.115,947.115,927.11,927.41,603996652,560152535031.32,2005-04-12
932.311,951.198,932.311,950.229,814108633,773589632226.957,2005-04-13
952.538,954.141,934.128,935.425,698368786,653271621644.0499,2005-04-14
931.666,931.666,911.318,913.271,666159696,608384331725.616,2005-04-15
910.889,910.889,895.275,901.118,500326908,450853582683.14404,2005-04-18
899.934,905.052,893.29,902.785,479860298,433210679129.93,2005-04-19
902.22,902.22,880.928,884.083,532165039,470478064174.237,2005-04-20
881.676,886.437,863.138,867.328,625034912,542110280155.136,2005-04-21
865.817,870.005,851.343,857.401,622488482,533722246955.282,2005-04-22
846.142,847.812,829.548,841.058,581986195,489484145194.31,2005-04-25
839.248,858.107,835.857,855.24,619995510,530244959972.4,2005-04-26
857.951,857.951,839.562,839.953,594365492,499239078101.876,2005-04-27
837.384,863.452,825.509,860.616,764311242,657778483845.072,2005-04-28
860.393,860.393,845.436,847.611,601368538,509726587862.718,2005-04-29
848.088,851.209,818.105,818.399,420610047,344226841854.753,2005-05-09
814.765,818.497,791.103,818.088,494693584,404702884747.39197,2005-05-10
816.817,822.773,809.58,811.57,463757906,376372003772.42004,2005-05-11
810.16,814.887,799.816,807.51,459710546,371220863000.46,2005-05-12
806.728,819.416,801.868,814.878,519752845,423535158827.91003,2005-05-13
814.055,814.055,802.823,808.171,453750251,366707794100.921,2005-05-16
806.808,821.049,803.424,818.455,495508190,405551155646.45,2005-05-17
818.12,824.771,811.036,824.643,455807702,375878630800.386,2005-05-18
824.826,828.582,814.151,824.94,477627612,394014122243.28,2005-05-19
824.574,828.079,818.365,819.13,432752210,354480317777.3,2005-05-20
816.195,816.195,793.052,793.724,431271537,342310569433.788,2005-05-23
791.129,811.671,788.817,808.743,469529223,379728472396.689,2005-05-24
808.521,817.668,803.942,809.697,529453761,428697121920.417,2005-05-25
808.661,812.694,795.425,799.024,483878743,386630728746.832,2005-05-26
797.183,806.252,789.859,790.998,416763164,329658829197.672,2005-05-27
788.637,799.403,783.854,797.532,384870800,306946778865.60004,2005-05-30
798.334,802.036,793.876,796.872,429973699,342634001469.52795,2005-05-31
795.817,795.817,774.354,778.673,464872701,361983820705.773,2005-06-01
777.469,779.23,764.15,769.421,495063844,380912517914.32404,2005-06-02
767.67,772.831,755.255,765.967,458631503,351296596458.401,2005-06-03
764.656,778.4,751.321,778.21,476354250,370703640892.5,2005-06-06
779.723,795.42,776.121,779.844,708730037,552698866974.228,2005-06-07
782.007,845.059,782.007,841.36,1497354405,1259814102190.8,2005-06-08
840.233,858.746,829.276,849.725,1531145199,1301052354220.2751,2005-06-09
850.024,850.024,827.753,831.605,1003594822,834594471949.31,2005-06-10
830.796,837.382,818.584,834.252,689483897,575203320040.044,2005-06-13
835.353,841.334,817.531,818.191,740158653,605591148456.723,2005-06-14
815.731,815.731,794.848,796.26,588453212,468561754587.12,2005-06-15
795.755,804.038,786.005,803.945,551448200,443334023149.0,2005-06-16
805.753,809.578,796.891,800.137,547849935,438355003441.095,2005-06-17
799.467,823.913,786.428,823.733,796647678,656224981741.974,2005-06-20
823.538,824.038,813.276,816.197,638511320,521151023850.04,2005-06-21
814.912,819.491,808.767,818.647,499273725,408728937150.075,2005-06-22
818.189,821.456,808.562,809.347,524665869,424636747077.54297,2005-06-23
807.678,813.277,802.486,813.203,427675509,347787006945.32697,2005-06-24
817.284,838.42,817.284,834.346,928098446,774355226026.316,2005-06-27
832.155,832.155,817.286,819.046,574778722,470770213139.21204,2005-06-28
818.091,821.078,813.079,814.064,514989044,419234041114.816,2005-06-29
813.152,813.152,790.757,791.502,535470028,423825598102.05597,2005-06-30
789.177,789.177,758.707,760.352,646907313,491877269254.17596,2005-07-01
756.033,756.033,732.864,749.483,590970196,442922115408.66797,2005-07-04
747.894,752.773,739.621,744.595,439146253,326986104252.53503,2005-07-05
744.795,750.302,738.38,743.444,428024302,318212099176.088,2005-07-06
743.323,751.128,740.485,747.418,392513492,293371649163.656,2005-07-07
746.289,746.289,722.283,722.854,509962055,368628111304.97003,2005-07-08
725.635,742.947,712.966,714.475,504551945,360489750903.875,2005-07-11
712.307,740.594,708.992,739.534,690327173,510520415557.382,2005-07-12
738.614,738.74,729.591,732.443,571845061,418843912014.023,2005-07-13
732.005,740.05,729.269,732.544,523636686,383586912509.184,2005-07-14
732.674,736.409,712.443,714.488,594210409,424556206705.59204,2005-07-15
712.32,712.32,694.848,696.848,481789676,335734172141.248,2005-07-18
695.767,705.076,692.697,703.066,418524535,294250370724.31,2005-07-19
703.173,711.008,699.192,707.293,424300901,300105057170.993,2005-07-20
707.049,707.938,695.384,704.788,474598107,334491050636.316,2005-07-21
704.611,728.523,704.231,721.445,950855587,685990008963.2151,2005-07-22
720.609,720.987,714.684,718.867,577102003,414859585590.60095,2005-07-25
718.623,736.721,718.6,735.861,919136182,676356470022.702,2005-07-26
736.289,750.093,731.076,750.015,947247844,710450091717.66,2005-07-27
750.4,755.942,744.022,747.23,1074715208,803059444873.84,2005-07-28
746.589,748.38,739.396,744.825,705695311,525619510015.575,2005-07-29
744.771,751.046,742.896,750.488,631794348,474154076641.82404,2005-08-01
750.964,763.29,746.819,763.29,890216702,679493506469.58,2005-08-02
764.938,781.027,763.865,769.752,1408354965,1084084051018.6799,2005-08-03
767.566,769.342,761.362,765.262,866178461,662853461421.782,2005-08-04
765.39,787.926,765.39,787.819,1249026298,984006649064.0619,2005-08-05
792.401,805.597,790.179,800.117,1536139404,1229091251510.2678,2005-08-08
800.837,814.258,794.179,814.186,1401640053,1141195708191.8582,2005-08-09
814.763,823.987,804.522,823.839,1520112307,1252327802886.573,2005-08-10
823.72,833.682,820.288,832.841,1646330415,1371131469159.015,2005-08-11
833.462,839.521,811.38,816.386,1764308661,1440356890519.146,2005-08-12
814.842,839.679,814.564,839.667,1262526106,1060101507846.702,2005-08-15
841.322,846.656,830.728,839.264,1551594142,1302197105991.488,2005-08-16
837.896,854.607,823.439,854.526,1679237457,1434952067180.3818,2005-08-17
855.879,865.692,819.884,820.664,2133211994,1750650287844.0159,2005-08-18
816.96,828.117,803.281,820.869,1386054808,1137769424188.152,2005-08-19
819.478,833.271,817.165,831.496,972441322,808581069477.712,2005-08-22
830.736,830.736,809.461,816.914,918385115,750241657835.11,2005-08-23
816.742,826.731,816.608,826.716,884105752,730904370870.432,2005-08-24
827.014,836.578,821.58,836.418,1037584874,867854665141.332,2005-08-25
837.41,842.297,830.582,840.431,1188080079,998499328874.0491,2005-08-26
839.305,840.041,826.356,832.248,1078255660,897376116523.68,2005-08-29
831.492,834.208,827.092,827.55,924203558,764824654422.8999,2005-08-30
827.228,845.15,822.166,845.142,1134994316,959231366212.8721,2005-08-31
845.934,865.405,842.812,865.405,1703406614,1474136600788.67,2005-09-01
866.549,874.157,861.475,872.485,1536554793,1340621008570.605,2005-09-02
873.856,884.396,871.882,884.29,1250419203,1105733197020.8699,2005-09-05
885.362,892.216,860.358,862.491,1705090353,1470625083649.323,2005-09-06
860.384,888.181,857.758,888.125,1395759518,1239608921923.75,2005-09-07
890.193,894.739,878.284,889.69,1469915717,1307769314257.73,2005-09-08
889.549,893.827,875.606,879.503,1039946723,914636262718.6691,2005-09-09
878.73,883.561,874.766,883.561,765652323,676500532162.203,2005-09-12
884.247,904.311,883.458,904.311,1249627241,1130051659935.951,2005-09-13
906.214,915.134,902.562,914.983,1659733385,1518627831807.4548,2005-09-14
914.906,920.954,910.767,918.505,1358238477,1247548832316.885,2005-09-15
918.259,918.803,910.841,917.638,1096153231,1005871858588.378,2005-09-16
918.129,930.591,915.927,930.489,1205620878,1121816965149.342,2005-09-19
931.88,931.894,915.137,924.16,1574760592,1455330748702.72,2005-09-20
921.92,922.18,908.983,909.787,1560313942,1419553340350.354,2005-09-21
906.049,907.29,866.949,880.013,1440832168,1267951038658.184,2005-09-22
876.31,883.536,868.158,868.549,979978400,851159259341.6,2005-09-23
867.222,875.026,862.185,874.84,696568999,609386423085.16,2005-09-26
875.097,877.662,856.495,856.958,880588126,754627039280.708,2005-09-27
855.796,863.813,849.886,852.359,751078150,640188220855.85,2005-09-28
852.038,871.487,852.038,871.291,883536020,769816982401.8201,2005-09-29
871.229,873.114,866.825,869.509,752996306,654737065033.754,2005-09-30
870.049,870.049,857.965,858.748,611949522,525510428118.45605,2005-10-10
857.642,878.694,854.274,878.623,763526757,670852169815.6111,2005-10-11
